INCOME,UPI_TRANSACTIONS,UPI_AVG_AMOUNT,UTILITY_BILLS_PAID,UTILITY_REGULARITY,MOBILE_RECHARGE_FREQ,RENT_PAYMENT,SAVINGS_BALANCE,LOAN_REPAYMENT_HISTORY,DIGITAL_FOOTPRINT,SOCIAL_MEDIA_ACTIVITY,EDUCATION_LEVEL,EMPLOYMENT_STABILITY,FAMILY_SIZE,AGE,GENDER,LOCATION_TYPE,DEVICE_TYPE,APP_USAGE_HOURS,BANK_ACCOUNT_AGE,NUM_FINANCIAL_PRODUCTS,INSURANCE_STATUS,REMITTANCE_FREQUENCY,GOVT_SUBSIDY_RECIPIENT,E_COMMERCE_ACTIVITY,PEER_LENDING_SCORE,ROLE,CREDIT_WORTHY
30479,48,973,5,0.69,3,16541,91301,0.73,59,71,3,0.36,3,35,F,semi-urban,smartphone,5.1,6.5,3,1,1,0,12,0.22,Freelancer,1
19756,20,756,4,0.44,9,2876,6033,0.31,25,6,0,0.18,6,40,F,rural,smartphone,0.8,1.8,0,0,5,0,1,0.07,Migrant Worker,0
23364,111,407,5,0.77,1,9122,29689,0.31,53,8,2,0.91,4,48,F,urban,smartphone,2.9,6.0,1,1,0,0,15,0.68,Kirana Store Owner,1
10679,24,362,5,0.66,1,1699,14725,0.37,10,3,1,0.55,3,48,F,urban,smartphone,0.8,6.2,0,0,1,1,0,0.36,Domestic Worker,0
33356,50,377,5,0.51,3,4905,16636,0.66,36,44,3,0.25,3,21,M,semi-urban,smartphone,7.4,2.9,0,1,1,0,36,0.23,Gig Worker,1
65805,34,311,5,0.78,2,16271,34802,0.45,46,55,3,0.53,2,36,M,semi-urban,smartphone,3.9,3.3,1,1,0,0,26,0.72,Freelancer,1
10963,7,216,2,0.42,9,2029,3293,0.39,29,14,0,0.29,4,33,F,semi-urban,smartphone,2.5,0.2,0,0,6,0,7,0.02,Migrant Worker,0
11861,8,775,3,0.36,7,3178,13351,0.16,14,7,1,0.12,6,42,M,semi-urban,smartphone,0.5,1.6,0,0,6,0,3,0.23,Migrant Worker,0
14585,14,482,5,0.74,1,3908,9782,0.28,13,3,0,0.81,5,32,F,urban,smartphone,0.8,3.1,0,0,1,1,2,0.06,Domestic Worker,1
26740,42,512,4,0.64,4,5133,29178,0.35,37,23,2,0.33,2,26,F,urban,smartphone,5.1,2.3,0,0,2,0,29,0.43,Gig Worker,1
36770,162,973,5,0.9,1,7431,47805,0.68,53,9,1,0.73,4,36,F,semi-urban,smartphone,2.2,7.8,2,1,0,1,18,0.69,Kirana Store Owner,1
10635,19,454,4,0.63,8,3415,2477,0.13,8,6,1,0.41,7,35,M,semi-urban,smartphone,2.2,2.6,0,0,11,0,0,0.19,Migrant Worker,0
67525,50,1810,4,0.82,3,7307,21899,0.38,89,77,2,0.4,1,35,M,semi-urban,smartphone,2.2,1.5,2,1,0,0,59,0.43,Freelancer,1
3585,2,40,1,0.12,1,0,811,0.0,0,0,1,0.12,4,53,M,rural,smartphone,0.3,0.5,0,0,0,0,0,0.02,Kirana Store Owner,0
17725,188,947,5,0.78,1,9022,59476,0.52,36,16,1,0.8,3,34,M,semi-urban,smartphone,3.1,10.0,1,1,0,0,5,0.61,Kirana Store Owner,1
16800,44,472,3,0.5,2,8435,22242,0.3,62,22,3,0.38,2,23,M,urban,smartphone,7.3,3.9,0,0,1,0,39,0.23,Gig Worker,0
8251,4,1659,4,0.31,3,588,39829,0.63,14,1,0,0.4,7,27,M,semi-urban,basic,1.1,6.8,1,0,1,1,4,0.29,Rural Farmer,0
2109,2,49,0,0.04,1,500,80,0.0,4,2,0,0.02,5,52,F,rural,basic,0.2,0.2,0,0,0,1,0,0.05,Rural Farmer,0
3389,53,173,3,0.42,2,6009,2146,0.2,90,42,3,0.17,1,20,F,urban,smartphone,6.5,0.4,0,1,0,0,31,0.4,College Student,0
33928,75,470,5,0.93,2,7722,67285,0.72,45,13,2,0.79,4,34,F,semi-urban,smartphone,1.7,9.8,2,1,0,0,27,0.66,Kirana Store Owner,1
7428,49,127,2,0.51,5,2573,10284,0.19,51,42,2,0.29,1,23,F,urban,smartphone,7.6,2.0,0,0,0,0,29,0.13,College Student,0
29794,116,289,5,0.91,2,10469,60264,0.44,36,11,1,0.88,3,42,M,semi-urban,smartphone,1.6,10.1,1,1,1,0,8,0.42,Kirana Store Owner,1
19096,47,149,5,0.5,3,3172,7907,0.51,45,0,0,0.54,3,22,M,semi-urban,smartphone,2.1,3.5,1,0,1,0,12,0.18,Street Vendor,1
50647,65,1132,4,0.73,3,14307,11314,0.75,77,38,2,0.6,2,29,F,urban,smartphone,5.6,4.9,3,1,1,0,47,0.38,Freelancer,1
22028,61,442,5,0.63,2,7266,11334,0.36,53,34,1,0.32,3,25,F,urban,smartphone,3.5,3.4,1,0,1,0,11,0.54,Gig Worker,1
8353,47,211,2,0.35,2,4241,4752,0.05,80,73,3,0.09,1,23,F,semi-urban,smartphone,3.0,0.6,0,1,0,1,27,0.07,College Student,0
28254,146,185,5,0.88,3,9812,69020,0.82,44,9,1,0.91,3,30,M,semi-urban,smartphone,1.5,6.4,1,1,0,1,20,0.57,Kirana Store Owner,1
44270,68,550,5,0.94,1,5727,25082,0.39,45,13,1,0.94,4,40,F,semi-urban,smartphone,3.0,5.3,1,1,1,1,25,0.53,Kirana Store Owner,1
9670,20,278,5,0.72,2,3389,7897,0.32,5,14,0,0.81,4,53,M,urban,smartphone,0.5,1.4,0,0,1,1,3,0.16,Domestic Worker,0
3312,1,35,0,0.13,1,0,796,0.0,3,0,0,0.02,6,49,F,rural,smartphone,0.0,0.3,0,0,0,0,0,0.01,Domestic Worker,0
10760,18,571,2,0.35,5,3386,5855,0.48,6,10,1,0.45,6,20,F,rural,smartphone,0.6,1.1,0,0,8,1,9,0.22,Migrant Worker,0
2667,0,22,0,0.14,0,500,322,0.0,1,1,0,0.04,5,24,M,semi-urban,basic,0.2,0.4,0,0,0,0,0,0.03,Migrant Worker,0
12736,59,218,5,0.46,3,4912,27339,0.34,24,18,1,0.59,6,48,M,semi-urban,basic,2.2,4.3,0,1,0,1,12,0.17,Street Vendor,0
20508,98,176,5,0.65,5,8121,27062,0.2,58,28,1,0.47,3,26,F,urban,smartphone,6.9,2.3,1,0,0,0,16,0.24,Gig Worker,1
32242,93,591,5,0.7,2,5286,14332,0.39,54,22,2,0.38,3,34,M,urban,smartphone,4.3,0.8,1,1,0,0,19,0.4,Gig Worker,1
19370,64,510,5,0.51,1,19074,61510,0.66,80,79,2,0.51,1,36,F,semi-urban,smartphone,2.3,1.5,3,1,0,0,40,0.35,Freelancer,1
68160,64,1878,5,0.71,1,6974,53464,0.81,82,38,3,0.46,1,25,F,urban,smartphone,5.5,6.0,2,1,0,0,56,0.74,Freelancer,1
13164,5,379,3,0.42,7,1461,1467,0.47,29,15,1,0.31,6,30,M,rural,basic,2.5,2.1,0,0,11,0,0,0.09,Migrant Worker,0
19929,10,731,3,0.35,6,1991,3426,0.46,19,14,0,0.41,4,25,M,semi-urban,smartphone,1.5,0.7,0,0,9,0,9,0.04,Migrant Worker,0
24665,64,148,5,0.48,7,2281,3185,0.19,18,20,1,0.39,4,31,F,urban,smartphone,2.2,3.5,0,0,0,0,12,0.43,Street Vendor,0
24658,61,750,5,0.89,3,8250,61170,0.44,38,25,1,0.77,5,37,F,semi-urban,smartphone,1.6,5.7,1,1,0,0,9,0.68,Kirana Store Owner,1
13849,5,401,4,0.94,1,3219,9602,0.57,15,8,1,0.71,4,40,M,semi-urban,basic,1.1,7.2,0,1,1,1,2,0.32,Domestic Worker,0
13274,22,308,4,0.86,1,4074,3405,0.59,9,5,0,0.58,4,47,M,urban,basic,1.0,3.4,0,1,0,1,2,0.34,Domestic Worker,1
19614,82,174,5,0.73,2,2560,24854,0.35,20,7,1,0.23,5,41,M,urban,smartphone,1.9,4.2,0,0,1,0,2,0.37,Street Vendor,1
19589,92,214,3,0.72,2,7503,15768,0.1,40,22,1,0.3,1,32,M,urban,smartphone,5.1,4.9,0,1,1,0,15,0.29,Gig Worker,1
4078,0,1,0,0.1,0,1000,344,0.0,1,0,0,0.03,5,28,M,semi-urban,basic,0.0,0.3,0,0,0,0,0,0.02,Freelancer,0
11765,4,1264,3,0.69,1,486,32706,0.43,16,0,1,0.37,6,33,M,semi-urban,basic,0.2,8.4,0,0,1,0,1,0.3,Rural Farmer,0
6601,47,236,3,0.51,4,4646,12541,0.01,83,71,3,0.28,1,19,M,urban,smartphone,6.4,2.1,0,0,0,0,18,0.37,College Student,0
9181,6,458,3,0.59,5,2863,2245,0.46,22,7,1,0.27,7,23,F,rural,smartphone,0.9,0.1,0,0,7,0,4,0.2,Migrant Worker,0
15847,3,1131,2,0.38,1,1028,31199,0.4,12,13,0,0.31,5,29,M,rural,basic,0.6,2.2,1,1,0,1,3,0.35,Rural Farmer,0
8856,10,504,2,0.41,4,2318,8907,0.2,17,10,1,0.5,4,46,F,rural,smartphone,1.3,0.8,0,0,4,0,9,0.2,Migrant Worker,0
1888,39,104,3,0.63,5,4141,4028,0.12,94,53,3,0.22,1,21,F,semi-urban,smartphone,8.7,0.1,0,0,0,0,25,0.12,College Student,0
11056,22,626,4,0.35,9,1938,12134,0.48,26,7,0,0.23,6,22,F,rural,smartphone,1.8,0.9,0,0,7,0,0,0.06,Migrant Worker,0
9927,13,495,5,0.7,2,2599,19482,0.55,10,12,1,0.54,4,30,M,urban,basic,1.1,3.4,0,0,0,1,3,0.17,Domestic Worker,0
24175,33,189,5,0.57,3,5390,27993,0.52,64,42,2,0.34,1,29,F,urban,smartphone,6.7,1.5,0,0,1,0,19,0.43,Gig Worker,1
36082,32,888,5,0.84,2,16702,27220,0.77,89,39,2,0.48,2,27,M,semi-urban,smartphone,5.7,3.0,1,1,0,0,18,0.45,Freelancer,1
2430,0,42,0,0.07,0,0,596,0.0,3,0,1,0.08,7,35,F,semi-urban,basic,0.0,0.5,0,0,0,1,0,0.0,Migrant Worker,0
34893,67,1896,4,0.67,2,12948,57428,0.32,89,38,3,0.49,1,36,F,urban,smartphone,2.1,8.4,2,0,0,0,18,0.74,Freelancer,1
22318,71,180,5,0.77,7,4989,14042,0.51,31,17,0,0.33,4,39,M,urban,smartphone,0.9,0.1,0,0,0,1,12,0.35,Street Vendor,1
14091,29,354,4,0.82,1,1920,16869,0.34,6,3,0,0.75,3,39,M,urban,smartphone,0.3,1.8,0,0,0,1,3,0.24,Domestic Worker,0
6878,7,835,4,0.6,2,731,27056,0.18,19,4,0,0.66,6,56,M,rural,basic,0.9,5.1,0,1,1,0,4,0.4,Rural Farmer,0
16240,17,236,4,0.66,2,2336,12365,0.04,15,12,0,0.55,4,43,M,urban,smartphone,1.2,4.6,0,1,0,1,1,0.22,Domestic Worker,0
455,2,31,0,0.07,1,0,217,0.0,1,1,0,0.11,6,21,F,rural,smartphone,0.3,0.1,0,0,0,0,0,0.05,College Student,0
68090,42,907,5,0.86,2,6176,22253,0.76,67,65,3,0.69,1,31,M,semi-urban,smartphone,4.9,4.3,3,1,1,0,38,0.67,Freelancer,1
4033,0,44,0,0.11,0,0,384,0.0,2,2,0,0.06,5,48,M,semi-urban,basic,0.1,0.0,0,0,0,1,0,0.01,Gig Worker,0
11596,17,257,4,0.85,2,4676,17547,0.6,19,9,1,0.55,3,46,F,urban,basic,0.2,5.1,0,0,1,0,3,0.27,Domestic Worker,0
30081,65,1315,5,0.75,2,17966,6366,0.73,69,59,3,0.32,2,35,F,urban,smartphone,4.3,3.1,2,1,1,0,40,0.58,Freelancer,1
2845,30,56,1,0.54,5,2270,2549,0.17,82,83,3,0.05,1,23,M,urban,smartphone,6.8,0.6,0,1,0,0,16,0.06,College Student,0
26195,42,531,5,0.43,2,8752,21938,0.66,60,43,3,0.28,1,26,M,semi-urban,smartphone,5.9,1.8,0,1,1,0,37,0.18,Gig Worker,1
45413,50,295,5,0.87,3,7168,73311,0.73,39,28,1,0.82,4,31,M,semi-urban,smartphone,2.9,7.8,2,1,0,0,26,0.67,Kirana Store Owner,1
6488,16,128,4,0.73,2,4796,7984,0.07,18,10,0,0.67,5,42,F,urban,smartphone,1.4,4.9,0,1,1,0,4,0.03,Domestic Worker,0
3593,0,20,1,0.14,1,0,550,0.0,4,0,0,0.01,6,28,F,semi-urban,basic,0.1,0.0,0,0,0,0,0,0.0,Kirana Store Owner,0
5781,28,138,4,0.66,3,2716,11464,0.41,18,11,1,0.58,4,28,M,urban,basic,1.2,6.1,0,0,1,1,1,0.32,Domestic Worker,0
17431,98,180,5,0.62,6,3837,3639,0.32,43,23,1,0.56,4,54,M,urban,basic,1.0,2.9,0,0,0,1,8,0.2,Street Vendor,0
8581,67,293,5,0.71,2,4263,25088,0.25,49,14,0,0.54,4,38,M,urban,basic,1.5,1.1,1,0,2,0,13,0.35,Street Vendor,0
45503,49,1908,5,0.84,2,17954,47090,0.52,45,76,3,0.68,2,34,M,urban,smartphone,2.4,6.0,3,1,1,0,20,0.23,Freelancer,1
42639,27,298,5,0.81,1,9562,8569,0.2,55,41,3,0.47,1,25,F,urban,smartphone,6.0,7.7,3,1,1,0,26,0.63,Freelancer,1
9402,17,156,3,0.61,4,1553,1364,0.26,10,12,0,0.19,5,45,M,rural,smartphone,1.3,2.5,0,0,4,0,5,0.16,Migrant Worker,0
15986,11,209,3,0.5,3,2132,2929,0.4,15,5,0,0.4,4,27,M,semi-urban,basic,0.6,0.5,0,0,9,0,7,0.03,Migrant Worker,0
15371,6,409,2,0.54,8,3479,6023,0.45,19,12,0,0.25,4,26,M,semi-urban,smartphone,2.1,1.8,0,0,8,1,6,0.17,Migrant Worker,0
6032,27,127,5,0.67,1,4301,2170,0.19,9,8,0,0.59,4,45,F,urban,basic,0.6,5.4,0,0,0,1,3,0.19,Domestic Worker,0
47641,107,743,5,0.71,1,11659,18766,0.81,58,12,2,0.73,5,46,M,urban,smartphone,1.3,8.6,1,1,1,1,22,0.38,Kirana Store Owner,1
46109,55,871,5,0.86,1,3099,62201,0.77,36,8,1,0.61,4,53,F,urban,smartphone,2.3,3.9,2,0,1,0,26,0.59,Kirana Store Owner,1
30472,128,429,5,0.86,3,11596,33387,0.31,29,13,1,0.87,4,46,F,semi-urban,smartphone,1.4,10.5,1,1,1,0,6,0.65,Kirana Store Owner,1
13957,38,540,5,0.57,2,7296,21267,0.25,33,35,3,0.42,3,34,F,urban,smartphone,7.2,3.2,0,0,2,0,18,0.56,Gig Worker,0
21186,19,1327,2,0.64,3,1217,19880,0.3,9,9,1,0.46,4,34,F,semi-urban,basic,0.5,8.8,1,0,0,0,1,0.18,Rural Farmer,0
8546,29,180,3,0.38,2,6824,3457,0.15,85,46,3,0.01,1,24,M,semi-urban,smartphone,6.9,1.2,0,0,0,0,23,0.31,College Student,0
1997,2,10,1,0.14,1,500,803,0.0,3,0,1,0.05,7,28,F,semi-urban,basic,0.1,0.1,0,0,0,0,0,0.01,Gig Worker,0
47933,74,1308,5,0.51,1,13384,41787,0.75,65,65,2,0.35,3,22,M,urban,smartphone,4.9,2.1,3,1,1,0,53,0.69,Freelancer,1
54445,72,553,5,0.76,1,17039,88692,0.35,89,31,2,0.65,3,32,M,semi-urban,smartphone,6.7,2.2,2,0,1,0,43,0.74,Freelancer,1
15,30,271,1,0.7,2,6475,7849,0.23,67,63,3,0.23,1,18,F,semi-urban,smartphone,9.9,0.9,0,1,0,0,17,0.34,College Student,0
38999,63,476,5,0.94,1,4214,70128,0.49,31,19,1,0.66,5,38,M,semi-urban,smartphone,3.3,6.3,2,1,1,0,13,0.62,Kirana Store Owner,1
14412,23,624,2,0.62,9,3867,9347,0.01,10,22,1,0.31,4,49,M,semi-urban,basic,1.0,1.6,0,0,4,1,6,0.11,Migrant Worker,0
178,18,66,1,0.31,5,4961,8117,0.24,89,59,2,0.08,1,22,M,urban,smartphone,7.2,1.5,0,1,0,0,36,0.2,College Student,0
14566,22,588,2,0.48,9,2441,12068,0.24,6,15,1,0.25,6,46,F,rural,smartphone,1.6,0.2,0,0,7,0,4,0.26,Migrant Worker,0
54650,36,478,5,0.74,3,18244,34726,0.81,50,59,2,0.68,2,22,M,urban,smartphone,5.5,3.3,2,0,0,0,51,0.31,Freelancer,1
8798,32,123,3,0.46,4,5515,4869,0.17,58,76,3,0.07,1,23,F,urban,smartphone,3.4,0.2,0,0,0,0,35,0.31,College Student,0
40101,126,514,5,0.77,1,8807,47666,0.75,46,25,2,0.66,5,51,M,semi-urban,smartphone,2.8,11.2,1,1,0,1,24,0.48,Kirana Store Owner,1
32190,39,489,3,0.68,4,7867,12299,0.2,63,22,2,0.43,3,22,F,urban,smartphone,7.6,1.3,1,0,1,0,11,0.12,Gig Worker,1
9916,28,139,3,0.34,4,3773,13913,0.25,76,87,3,0.3,1,21,M,urban,smartphone,4.9,2.8,0,1,0,1,33,0.04,College Student,0
48607,128,287,5,0.71,1,4130,56223,0.55,32,27,2,0.7,5,48,F,semi-urban,smartphone,3.7,3.8,1,1,0,0,28,0.61,Kirana Store Owner,1
22350,30,347,4,0.52,3,4619,5316,0.52,35,27,2,0.44,1,20,F,urban,smartphone,4.9,0.9,0,1,0,0,35,0.12,Gig Worker,0
473,26,150,1,0.58,2,6564,618,0.26,91,62,3,0.17,1,19,M,urban,smartphone,7.3,1.8,0,0,0,1,18,0.21,College Student,0
2449,0,36,0,0.03,1,0,989,0.0,3,2,1,0.03,3,23,F,rural,basic,0.0,0.3,0,0,0,0,0,0.03,Gig Worker,0
17953,4,1332,4,0.49,1,1037,18026,0.11,16,3,0,0.59,7,53,M,rural,basic,0.4,5.1,0,1,0,1,4,0.27,Rural Farmer,0
5341,0,18,0,0.02,1,500,99,0.0,3,0,0,0.04,3,23,F,semi-urban,basic,0.2,0.2,0,0,0,0,0,0.01,Domestic Worker,0
8496,13,143,4,0.45,9,2946,13307,0.33,28,8,0,0.28,5,35,F,semi-urban,smartphone,1.2,0.4,0,0,4,1,6,0.06,Migrant Worker,0
205,38,157,1,0.65,2,6830,5453,0.21,50,81,2,0.03,1,23,M,urban,smartphone,3.8,2.6,0,0,0,0,40,0.0,College Student,0
10200,33,538,5,0.69,5,9186,4662,0.15,67,54,1,0.41,2,28,F,urban,smartphone,5.5,4.3,1,1,1,0,39,0.24,Gig Worker,0
28009,47,139,3,0.48,3,6394,14445,0.5,44,32,3,0.2,1,22,F,urban,smartphone,6.3,2.2,1,0,1,0,11,0.15,Gig Worker,1
21951,18,1073,2,0.59,2,581,28357,0.56,14,7,0,0.37,7,48,F,semi-urban,smartphone,0.8,9.1,0,1,1,0,2,0.21,Rural Farmer,0
19535,73,131,4,0.69,2,9256,5944,0.66,51,46,3,0.28,3,23,F,semi-urban,smartphone,4.6,0.6,0,0,0,0,18,0.12,Gig Worker,1
43986,61,334,5,0.73,3,8493,53823,0.33,53,22,2,0.69,4,53,F,urban,smartphone,2.0,15.0,1,0,1,0,29,0.33,Kirana Store Owner,1
636,2,14,1,0.09,1,0,85,0.0,4,0,0,0.04,5,34,F,rural,basic,0.3,0.5,0,0,0,0,0,0.03,Kirana Store Owner,0
64223,25,1284,4,0.66,1,5355,90306,0.27,81,78,2,0.31,1,37,F,urban,smartphone,7.6,2.9,2,1,0,0,46,0.77,Freelancer,1
36290,54,1879,4,0.51,3,12684,56935,0.86,45,68,3,0.58,1,31,M,urban,smartphone,5.7,8.7,3,1,1,0,21,0.63,Freelancer,1
12488,8,279,4,0.63,6,1962,11883,0.32,19,24,0,0.27,5,20,M,urban,basic,0.9,1.3,0,0,8,0,8,0.22,Migrant Worker,0
32271,52,284,5,0.9,2,5723,74622,0.83,38,11,1,0.62,5,41,F,semi-urban,smartphone,3.6,9.4,1,1,1,0,17,0.34,Kirana Store Owner,1
30352,124,841,5,0.91,3,7492,12712,0.46,31,11,2,0.88,5,49,M,semi-urban,smartphone,1.4,13.4,2,0,0,0,21,0.65,Kirana Store Owner,1
2842,0,47,1,0.12,1,0,644,0.0,2,2,0,0.03,3,23,F,rural,basic,0.1,0.1,0,0,0,0,0,0.04,Domestic Worker,0
52299,70,1711,5,0.86,1,19344,44482,0.81,47,63,2,0.69,3,32,M,semi-urban,smartphone,5.1,7.8,1,1,1,0,52,0.44,Freelancer,1
27781,32,103,4,0.62,2,3643,4799,0.52,43,37,2,0.44,2,21,M,semi-urban,smartphone,6.5,0.7,1,1,1,0,15,0.15,Gig Worker,1
4632,0,19,0,0.06,1,500,794,0.0,2,1,1,0.08,3,49,F,semi-urban,basic,0.0,0.3,0,0,0,0,0,0.02,Migrant Worker,0
5924,31,101,1,0.34,5,2377,12711,0.13,80,58,3,0.22,1,18,F,urban,smartphone,5.1,2.6,0,1,0,0,35,0.11,College Student,0
17155,43,213,3,0.48,2,7474,14882,0.11,33,25,2,0.47,3,31,M,urban,smartphone,4.3,3.3,0,0,2,0,18,0.4,Gig Worker,0
36675,24,1520,4,0.58,3,16779,69366,0.47,70,79,2,0.69,3,38,F,urban,smartphone,5.1,2.6,3,0,1,0,46,0.62,Freelancer,1
3478,1,18,1,0.12,1,0,426,0.0,1,0,0,0.01,3,45,F,rural,basic,0.0,0.1,0,0,0,0,0,0.05,Kirana Store Owner,0
8341,23,214,1,0.55,3,3440,11767,0.25,75,45,3,0.19,1,20,F,semi-urban,smartphone,4.9,1.6,0,0,0,1,30,0.01,College Student,0
5437,15,281,5,0.87,2,3729,4685,0.11,15,6,0,0.79,5,49,F,urban,smartphone,0.4,7.3,0,1,0,1,4,0.33,Domestic Worker,0
9682,54,153,2,0.48,3,4138,13843,0.26,57,64,3,0.01,1,20,F,urban,smartphone,7.9,1.6,0,0,0,1,18,0.16,College Student,0
24524,58,529,4,0.65,3,4692,22436,0.52,49,55,2,0.41,3,25,F,urban,smartphone,8.0,3.9,0,0,0,0,33,0.49,Gig Worker,1
75061,50,1687,4,0.81,3,5119,15628,0.86,86,52,2,0.6,2,28,M,urban,smartphone,7.0,2.9,3,0,0,0,28,0.36,Freelancer,1
6866,33,150,3,0.61,3,5927,12620,0.01,81,69,3,0.04,1,20,M,urban,smartphone,3.9,0.2,0,0,0,0,33,0.34,College Student,0
9519,110,297,3,0.78,7,4598,13109,0.33,34,15,1,0.45,3,34,M,urban,basic,2.4,1.8,0,0,0,0,13,0.5,Street Vendor,0
8686,15,1046,3,0.47,2,1280,4463,0.48,10,12,1,0.59,4,39,M,rural,basic,0.7,1.2,1,1,0,0,3,0.41,Rural Farmer,0
5564,28,184,5,0.81,2,4439,12846,0.49,23,5,0,0.85,3,34,F,semi-urban,smartphone,1.1,0.8,0,0,0,0,0,0.29,Domestic Worker,0
4757,2,48,0,0.13,0,1000,870,0.0,3,0,1,0.1,3,18,M,rural,basic,0.0,0.2,0,0,0,1,0,0.03,Kirana Store Owner,0
14360,7,261,5,0.84,3,3420,8650,0.33,17,3,0,0.89,4,29,F,urban,basic,1.1,3.7,0,0,1,1,2,0.32,Domestic Worker,0
40810,60,331,5,0.78,1,6377,27698,0.85,45,8,2,0.82,5,53,M,semi-urban,smartphone,2.8,3.4,1,1,1,0,5,0.62,Kirana Store Owner,1
11315,13,581,4,0.55,8,2469,11833,0.32,20,19,0,0.44,4,43,F,rural,smartphone,1.2,1.6,0,0,4,0,8,0.2,Migrant Worker,0
52546,69,1650,4,0.83,1,6270,39124,0.53,63,54,3,0.44,1,28,M,semi-urban,smartphone,6.6,8.0,1,1,0,0,56,0.61,Freelancer,1
11668,46,231,5,0.42,5,3291,19063,0.37,41,8,1,0.42,5,30,F,urban,basic,2.6,3.5,0,0,2,1,3,0.27,Street Vendor,0
15705,75,265,5,0.56,4,3082,16207,0.39,35,12,1,0.26,6,50,F,urban,basic,1.1,1.2,1,0,1,0,11,0.09,Street Vendor,0
11179,74,122,4,0.6,2,3924,10386,0.17,31,1,1,0.25,4,40,F,urban,basic,2.2,0.4,0,0,2,1,7,0.3,Street Vendor,0
1518,2,5,0,0.15,1,1000,135,0.0,0,2,0,0.07,6,42,F,rural,smartphone,0.2,0.1,0,0,0,0,0,0.01,Freelancer,0
73562,69,370,5,0.84,1,16222,99634,0.37,80,72,3,0.53,2,32,F,urban,smartphone,2.8,1.2,2,1,0,0,25,0.59,Freelancer,1
5834,44,123,3,0.3,5,4113,923,0.23,63,67,2,0.2,1,18,F,urban,smartphone,6.6,3.0,0,0,0,0,32,0.06,College Student,0
26549,74,505,5,0.58,4,3793,15015,0.21,58,40,3,0.35,2,32,M,urban,smartphone,3.2,1.8,1,0,2,0,16,0.57,Gig Worker,1
7611,8,493,2,0.47,7,2705,781,0.47,24,24,1,0.28,5,46,M,rural,smartphone,1.5,2.8,0,0,8,0,2,0.29,Migrant Worker,0
11105,16,336,5,0.82,3,1673,9284,0.28,21,12,0,0.68,4,49,M,urban,basic,0.6,7.5,0,0,0,0,0,0.14,Domestic Worker,0
787,0,46,1,0.12,0,0,607,0.0,1,1,1,0.06,3,42,M,rural,smartphone,0.1,0.5,0,0,0,0,0,0.0,Street Vendor,0
25630,71,217,5,0.73,1,3878,16511,0.55,26,28,1,0.88,3,31,F,semi-urban,smartphone,3.0,10.9,2,1,0,0,16,0.66,Kirana Store Owner,1
2099,1,17,0,0.09,1,1000,526,0.0,1,0,1,0.07,6,51,F,rural,basic,0.0,0.2,0,0,0,0,0,0.02,Gig Worker,0
8126,25,247,2,0.48,2,2937,1989,0.16,69,59,3,0.23,1,21,F,urban,smartphone,4.6,1.7,0,0,0,1,17,0.33,College Student,0
7739,19,417,3,0.43,9,1752,11614,0.34,8,16,1,0.26,5,44,M,rural,basic,1.5,0.5,0,0,4,0,3,0.12,Migrant Worker,0
12244,57,281,3,0.8,5,5661,15193,0.66,11,20,0,0.22,3,25,M,semi-urban,basic,1.7,4.3,1,0,1,1,0,0.3,Street Vendor,1
1059,51,127,1,0.36,4,5608,279,0.23,79,40,3,0.24,1,20,F,urban,smartphone,3.0,1.5,0,0,0,0,29,0.27,College Student,0
18451,10,396,3,0.49,9,2334,1219,0.11,17,12,0,0.4,6,28,F,urban,smartphone,2.0,2.4,0,0,8,0,7,0.24,Migrant Worker,0
5293,1,37,1,0.11,0,0,587,0.0,0,2,0,0.1,5,59,F,rural,basic,0.2,0.3,0,0,0,0,0,0.01,Kirana Store Owner,0
29123,123,400,5,0.86,1,11543,33330,0.44,32,9,1,0.88,4,33,M,semi-urban,smartphone,1.9,3.1,1,0,1,0,9,0.5,Kirana Store Owner,1
5662,2,9,0,0.05,1,0,445,0.0,1,2,0,0.03,4,38,F,rural,smartphone,0.1,0.5,0,0,0,1,0,0.04,College Student,0
9834,90,152,5,0.53,3,2307,1911,0.36,21,4,1,0.56,5,31,M,urban,smartphone,2.5,0.9,1,0,0,1,13,0.16,Street Vendor,0
49177,188,990,5,0.85,3,3468,36338,0.46,24,5,2,0.85,5,51,M,semi-urban,smartphone,1.3,9.6,2,0,1,0,9,0.43,Kirana Store Owner,1
20528,12,1616,3,0.69,1,1647,13830,0.64,14,2,1,0.68,4,48,F,semi-urban,basic,0.4,9.2,0,0,1,1,2,0.24,Rural Farmer,1
12542,7,312,4,0.66,1,2231,11413,0.58,23,6,1,0.59,3,47,M,urban,basic,0.4,6.7,0,1,0,1,2,0.4,Domestic Worker,1
2660,0,26,1,0.04,1,500,821,0.0,0,2,0,0.06,4,26,F,semi-urban,basic,0.2,0.3,0,0,0,0,0,0.04,Migrant Worker,0
3882,1,24,0,0.14,0,1000,95,0.0,4,2,0,0.05,5,21,F,rural,basic,0.2,0.0,0,0,0,1,0,0.03,College Student,0
17971,13,332,2,0.32,3,2100,4304,0.22,7,20,1,0.33,7,36,M,rural,basic,1.9,0.9,0,0,6,0,7,0.08,Migrant Worker,0
3751,2,10,0,0.02,1,500,701,0.0,0,2,1,0.06,7,31,F,rural,basic,0.2,0.4,0,0,0,1,0,0.03,Freelancer,0
